objectid,title,classification,iiifurl,is_portrait
3863,Bookplate of Hilprand Brandenburg of Bibrach,Print,https://api.nga.gov/iiif/9a477500-5d40-44ff-b6e9-727e10e84532,True
3874,Friedrich Count of Schaumberg - Bishop of Salzburg,Print,https://api.nga.gov/iiif/19c9f9c0-beac-40bf-b318-319e7e22e8fd,True
3939,Song to the Madonna,Print,https://api.nga.gov/iiif/c0a7fa60-d8ee-43c1-ad55-ad190697fef7,True
3961,Joseph and the Christ Child,Print,https://api.nga.gov/iiif/343cded7-2249-47b1-8ea2-7beb9aeea316,True
3965,Madonna and Child,Print,https://api.nga.gov/iiif/eeee59e6-1836-4058-b645-1135cd347f89,True
3986,Saint Dorothy,Print,https://api.nga.gov/iiif/f1331dad-f029-436c-85d5-de935b3f462e,True
3992,Saint Margaret,Print,https://api.nga.gov/iiif/b617fcb7-0387-4b9f-813d-e1aaf9fb23e4,True
4021,The Man of Sorrows,Print,https://api.nga.gov/iiif/a785be65-5805-4a23-89e0-a2abac77f752,True
4058,Saint Bartholomew,Print,https://api.nga.gov/iiif/55f8c1be-27ef-4801-9836-7d22832e6053,True
4085,Leonhard von Eck,Print,https://api.nga.gov/iiif/84f9ea17-cbd7-4b25-8d91-795a0a90d3d1,True
4086,Erasmus Balderman,Print,https://api.nga.gov/iiif/d2e52e26-55b4-4ee1-afcd-64846786105f,True
4087,King Ferdinand I,Print,https://api.nga.gov/iiif/0385e8fc-50a3-4340-9599-a2b20fad0c64,True
4088,King Ferdinand I,Print,https://api.nga.gov/iiif/1efa0abe-4396-485e-85be-fcd391c0bcd3,True
4089,King Ferdinand I,Print,https://api.nga.gov/iiif/ebc0ae47-0f0d-4839-9639-80e83cc29578,True
4097,Michael Roting,Print,https://api.nga.gov/iiif/b315c178-9a64-455a-9003-8e4d6a673ea1,True
4099,Naked Woman on an Armor (Prudentia?),Print,https://api.nga.gov/iiif/77afd33d-f32b-4874-88ba-6dd5ee3a7406,True
4108,Emperor Charles V,Print,https://api.nga.gov/iiif/97b29838-4600-4037-9853-802aa45012d9,True
4109,Bust of a Young Woman,Print,https://api.nga.gov/iiif/8dc5f21a-a55e-4ccf-b486-35f99f59f830,True
4110,Bust of an Old Woman,Print,https://api.nga.gov/iiif/72691daf-7bc2-44f1-afd2-2a98c82ae9f5,True
4116,"Christopher, Margrave of Baden",Print,https://api.nga.gov/iiif/771f3ff3-0bc9-42d1-ba33-f6266a126802,True
4135,Saint Bartholomew,Print,https://api.nga.gov/iiif/72e80388-1ac1-47eb-ad7c-b0d778be09e7,True
4139,Saint Peter,Print,https://api.nga.gov/iiif/25afbf27-72c1-4dc9-b808-32ca96ba58bd,True
4140,Christ,Print,https://api.nga.gov/iiif/966e3425-c1c6-4e88-8581-b07f2c58896b,True
4150,Reinhard Piper,Print,https://api.nga.gov/iiif/2775c46a-2261-4f83-baf4-f68687e1fa72,True
4151,"Mr. Muller, I and the Barmaid (Herr Müller, ich und die Bufettmamsell)",Print,https://api.nga.gov/iiif/aa2300e9-745b-401b-8902-5aac2d607d97,True
4153,Mary,Print,https://api.nga.gov/iiif/eef4fa61-02a2-4a81-aa44-08a48f6ca75e,True
4154,Peter and Mary,Print,https://api.nga.gov/iiif/0f42e977-fae5-4c2c-a4a8-f159b8c52786,True
4183,Woman of Scanno,Print,https://api.nga.gov/iiif/e2cea3af-3af1-4f21-8ed1-b397edda7dac,True
4241,Charles Murray,Print,https://api.nga.gov/iiif/33879e6d-840d-4c11-9eb4-eaaf8717a5fa,True
4256,Alice Lush,Print,https://api.nga.gov/iiif/8814098b-27b9-4dfe-9a17-051f9512e31d,True
4260,Saint Sebald,Print,https://api.nga.gov/iiif/0ed2d49c-6f91-4067-88af-96bd1dd9dfce,True
4262,Trajan,Print,https://api.nga.gov/iiif/53344ff7-d89e-44ad-80a9-5924d96ff326,True
4263,Domitia Calvilla,Print,https://api.nga.gov/iiif/01b5a1cf-7855-4794-8c2f-f1ca21c44adf,True
4280,Jupiter,Print,https://api.nga.gov/iiif/52bc280b-6431-4e80-9223-f91ff66d64f3,True
4307,Foot Soldier Standing by a Tree,Print,https://api.nga.gov/iiif/735991e7-8b3c-4e79-9a45-abce7221ad5e,True
4308,Bust of a Young Woman,Print,https://api.nga.gov/iiif/c4581a9e-fb04-4f1b-adac-8d6279a72dcd,True
4316,Two Profile Studies of a Man's Head,Print,https://api.nga.gov/iiif/2706dedf-689a-4673-9d39-1b2f999ebd65,True
4361,Bust of an Old Bearded Man,Print,https://api.nga.gov/iiif/eaabef30-0df6-48c4-ae61-c355c25572d5,True
